,0,1,2,3,4,5,6,7,8,9
Tuned,0.56,0.6,0.48,0.56,0.56,0.56,0.56,0.6,0.56,0.52
Default,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
